date,portfolio_value,cash,positions_value,total_return,num_positions,num_trades
2025-04-09,10340.590403556824,4513.583062171936,5827.007341384888,0.03405904035568237,5,202
2025-04-10,10142.667939186096,2011.3880853652954,8131.279853820801,0.014266793918609619,7,207
2025-04-11,10313.408673286438,1641.6480951309204,8671.760578155518,0.0313408673286438,8,208
2025-04-14,10270.202986717224,1641.6480951309204,8628.554891586304,0.027020298671722412,8,208
2025-04-15,10259.878916740417,1440.1969690322876,8819.68194770813,0.02598789167404175,8,209
2025-04-16,9924.09773349762,1941.7822351455688,7982.315498352051,-0.007590226650238037,7,210
2025-04-17,9934.679518699646,1941.7822351455688,7992.897283554077,-0.0065320481300354,7,210
2025-04-21,9636.346709251404,1623.4049158096313,8012.9417934417725,-0.03636532907485962,7,211
2025-04-22,9911.551993370056,1623.4049158096313,8288.147077560425,-0.008844800662994385,7,211
2025-04-23,10156.003849983215,1442.8049097061157,8713.1989402771,0.015600384998321533,7,212
2025-04-24,10440.276566505432,1071.0264520645142,9369.250114440918,0.044027656650543215,7,214
2025-04-25,10598.076281547546,882.0364465713501,9716.039834976196,0.05980762815475464,7,215
2025-04-28,10544.181866645813,882.0364465713501,9662.145420074463,0.0544181866645813,7,215
2025-04-29,10540.391568183899,741.5864458084106,9798.805122375488,0.054039156818389895,7,216
2025-04-30,10503.007298469543,604.2864503860474,9898.720848083496,0.05030072984695434,7,217
2025-05-01,10720.293906211853,494.76645374298096,10225.527452468872,0.0720293906211853,7,218
2025-05-02,11098.902640342712,2168.892888069153,8930.00975227356,0.10989026403427124,6,220
2025-05-05,10938.969876289368,1781.232892036438,9157.73698425293,0.09389698762893676,6,221
2025-05-06,10874.327576637268,1457.6128911972046,9416.714685440063,0.08743275766372681,6,222
2025-05-07,10853.246710777283,1998.4189367294312,8854.827774047852,0.08532467107772827,5,224
2025-05-08,11259.31510066986,1648.1789350509644,9611.136165618896,0.12593151006698608,5,225
2025-05-09,11164.625449180603,1448.7210874557495,9715.904361724854,0.11646254491806031,5,229
2025-05-12,11625.802493095398,3228.0582609176636,8397.744232177734,0.1625802493095398,2,234
2025-05-13,11691.34021282196,2341.726565361023,9349.613647460938,0.16913402128219604,2,236
2025-05-14,11731.129992485046,1619.0861349105835,10112.043857574463,0.17311299924850465,2,238
2025-05-15,11603.404074668884,1153.5961294174194,10449.807945251465,0.16034040746688843,3,240
2025-05-16,12155.859820365906,3452.0494298934937,8703.810390472412,0.21558598203659057,2,243
2025-05-19,12180.699473381042,2035.3094205856323,10145.39005279541,0.21806994733810425,3,246
2025-05-20,12226.979807853699,1204.9393949508667,11022.040412902832,0.22269798078536987,3,249
2025-05-21,11734.219592094421,737.875979423523,10996.343612670898,0.17342195920944214,4,252
2025-05-22,14971.449572563171,12602.042925834656,2369.4066467285156,0.49714495725631713,3,254
2025-05-23,14950.19992351532,4700.314730644226,10249.885192871094,0.495019992351532,5,259
2025-05-27,15290.302035331726,4406.367358207703,10883.934677124023,0.5290302035331726,5,266
2025-05-28,15250.063418388367,1527.9395475387573,13722.12387084961,0.5250063418388367,7,272
2025-05-29,15384.05391216278,838.7682371139526,14545.285675048828,0.5384053912162781,8,276
2025-05-30,15261.854479789734,582.6352300643921,14679.219249725342,0.5261854479789734,8,278
2025-06-02,15396.610320091248,1046.3243398666382,14350.28598022461,0.5396610320091247,6,282
2025-06-03,15419.170714378357,1382.842131614685,14036.328582763672,0.5419170714378357,5,284
2025-06-04,15568.066252708435,2743.7124013900757,12824.35385131836,0.5568066252708435,5,291
2025-06-05,15381.932341575623,1748.3761739730835,13633.556167602539,0.5381932341575623,5,296
2025-06-06,15678.406157493591,1024.6890134811401,14653.717144012451,0.5678406157493592,5,300
2025-06-09,15828.719443321228,6493.2575216293335,9335.461921691895,0.5828719443321227,3,305
2025-06-10,15879.881155967712,4068.0104475021362,11811.870708465576,0.5879881155967712,3,309
2025-06-11,15826.204466819763,6096.138075828552,9730.066390991211,0.5826204466819763,5,315
2025-06-12,15689.972182273865,6087.663405418396,9602.308776855469,0.5689972182273865,4,319
2025-06-13,15540.496916770935,5528.024230003357,10012.472686767578,0.5540496916770935,4,323
2025-06-16,15696.106245994568,7529.373259544373,8166.732986450195,0.5696106245994568,2,326
2025-06-17,15633.66154384613,6123.031096458435,9510.630447387695,0.563366154384613,2,327
2025-06-18,15741.9000082016,11144.819884300232,4597.080123901367,0.5741900008201599,1,328
2025-06-20,15826.579955101013,7684.140440940857,8142.439514160156,0.5826579955101013,3,330
2025-06-23,15937.19818019867,5074.328276634216,10862.869903564453,0.593719818019867,3,334
2025-06-24,15937.13844203949,2888.5482473373413,13048.590194702148,0.593713844203949,3,337
2025-06-25,15403.23838710785,2464.568236351013,12938.670150756836,0.5403238387107849,3,338
2025-06-26,15992.20794582367,5795.718321800232,10196.489624023438,0.599220794582367,3,341
2025-06-27,15822.239287376404,4985.209258079529,10837.030029296875,0.5822239287376404,2,343
